Name,Symbol,Price (USD),Volume (USD),Market capacity (USD),Change (1h),Change (24h),Change (7d)
Dentacoin,DCN,2.75937090729e-05,117119.809007,14908483.7342,0.25,3.71,5.79
Cortex,CTXC,0.0978773778367,2290005.87801,14661293.0088,0.15,2.08,4.55
Harmony,ONE,0.00556499480732,5086545.90395,14461050.5676,0.58,3.31,2.70
Cred,LBA,0.0225315831737,726722.686961,14386954.2871,0.50,0.80,0.91
Orbs,ORBS,0.0072306505052,1723421.11568,14197553.135,2.82,-5.53,-5.59
Nexus,NXS,0.218414744086,291620.047985,14125308.9688,7.26,12.68,20.70
Credits,CS,0.0758422244171,450661.995543,14105203.1623,5.05,1.88,26.70
Cindicator,CND,0.00767245286994,134375.941612,14001477.8262,0.86,0.12,12.65
MediBloc [ERC20],MEDX,0.00407057356926,720953.117449,13980938.2213,-0.89,4.89,22.19
Dent,DENT,0.000176898064521,150300.548302,13599187.1265,0.50,6.06,19.25
ODEM,ODE,0.0617705028228,232407.600747,13534540.9458,-0.55,2.71,-22.72
Syscoin,SYS,0.0234921171749,1367814.46421,13436581.4093,-5.06,6.23,24.66
sUSD,SUSD,0.979835596642,1665.68921905,13419979.6926,-0.48,0.29,2.75
Vertcoin,VTC,0.252696218879,504061.33385,13232304.078,0.29,4.03,18.48
Streamit Coin,STREAM,2.05576456506,351918.645568,13141939.7655,-1.42,-5.26,-6.66
Cocos-BCX,COCOS,0.000754993090187,2332298.8953,13071609.2025,0.38,0.09,-3.30
Elrond,ERD,0.00202006029948,3978222.73136,12995565.4145,-0.34,1.62,25.29
PIVX,PIVX,0.225649479607,10219737.373,12812640.5576,-1.51,1.88,27.37
Wirex Token,WXT,0.00966946882712,624631.057572,12570309.4799,0.51,2.55,9.25
Eidoo,EDO,0.240770299608,158919.143703,12507628.6695,-0.47,2.30,11.06
TTC,TTC,0.0333581005471,520952.919518,12467401.2378,-1.15,3.26,29.82
S4FE,S4F,0.0463185736818,10894.7223121,12382509.7468,8.65,-1.65,33.94
IRISnet,IRIS,0.0252895094714,4250246.1146,12167758.7823,-0.92,10.99,50.86
INO COIN,INO,1.64803247459,5272.50531025,296651086.169,-0.05,2.82,10.54
Insight Chain,INB,0.571919499303,12218230.7032,200116170.745,0.38,-1.22,6.72
PRIZM,PZM,0.391852247505,119745.522103,150902530.531,-0.02,1.13,-11.95
UNI COIN,UNI,2.50587556398,0.0,150363755.734,0.00,0.00,0.22
ThoreNext,THX,6.49025813504,103590.665822,140528717.665,11.92,23.72,15.30
Maximine Coin,MXM,0.0845891141789,838.197908339,139487449.281,-0.21,-11.51,340.22
ThoreCoin,THR,1411.44327435,112903.177628,122352402.026,-0.14,1.05,8.96
Karatgold Coin,KBC,0.0298777381828,3568179.42173,112109574.191,0.13,5.37,96.95
Cryptonex,CNX,1.8592086994,2240034.34285,103532507.244,-0.34,1.13,12.65
Mixin,XIN,221.416056411,4020445.43717,102951443.774,0.30,1.80,12.93
Dimension Chain,EON,0.368969349949,1545491.41356,90317631.3804,-0.11,0.46,8.22
Everus,EVR,0.158102164293,9132.01077348,72248670.0984,0.02,59.30,271.18
Beldex,BDX,0.0731107488536,138986.600725,71664807.9637,-0.13,7.71,24.76
GAPS,GAP,7.06179797631,1260129.72307,70617979.7631,0.59,-0.16,1.45
1irstcoin,FST,1.80118184481,296788.035411,66781466.7864,-0.84,18.66,37.14
Flexacoin,FXC,0.00251701644982,12723.4387004,54223319.5737,0.00,19.83,33.76
OKB,OKB,2.53047243616,93108280.946,50609448.7232,1.14,5.96,34.25
Noah Coin,NOAH,0.00154578373032,2905.46024609,50528513.6192,-0.24,76.91,29.64
MineBee,MB,0.0271359131507,749084.786989,49661908.3204,-0.11,1.76,8.54
Bitbook Gambling,BXK,0.132794910838,544996.92369,48919984.0743,0.07,2.76,-6.13
Breezecoin,BRZE,0.455457408304,79658.9893778,45545740.8304,-0.17,2.48,12.58
VestChain,VEST,0.00615543299285,94711.1488272,43570616.8966,-0.17,-12.27,7.83
LATOKEN,LA,0.109198047485,535366.716947,41506665.0907,1.16,1.35,45.69
Clipper Coin,CCCX,0.0136976158927,None,40315784.8872,0.00,0.00,0.00
Jewel,JWL,0.674981279342,1720.06200129,36928249.4171,-0.21,13.41,13.69
botXcoin,BOTX,0.0220081848189,327417.398057,35910626.135,-0.09,0.47,20.60
EXMR FDN,EXMR,3.03533096754,37270.4323678,35685207.2892,-0.06,-5.77,56.67
Cryptoindex.c...,CIX100,0.54794734957,62093.6959559,34197274.4856,-0.33,1.29,8.47
BitForex Token,BF,0.00790764204536,310227.303048,33620057.9039,0.05,2.24,-0.85
Veritaseum,VERI,15.3102455555,3992.09975119,32911614.8539,0.35,3.76,2.74
FABRK,FAB,0.00686007501117,565619.480347,32890241.3372,0.35,-0.55,-0.79
CryptoVerific...,CVCC,55.7114591743,0.131174195713,32457245.1176,-0.15,1.01,8.66
NEXT,NET,0.792877608048,118663.106866,32105056.1535,0.01,0.29,-3.52
Buggyra Coin ...,BCZERO,0.0148474895315,10351.3119104,29854975.4389,-1.97,-1.13,29.67
USDK,USDK,0.99766363082,45263509.87,28533251.6732,0.44,0.27,-0.08
PLATINCOIN,PLC,5.52661375201,1518218.15071,27638998.8166,0.00,-3.59,-15.12
Bankera,BNK,0.00111816865137,3300.37659487,27528095.7497,-0.15,0.74,13.28
Dynamic Tradi...,DTR,0.0180353958847,67379.4894624,27362120.0013,0.04,-1.00,-6.43
Bitcoin 2,BTC2,1.5499580822,4087.79327602,26901745.4587,-0.15,5.23,24.75
Tratin,TRAT,0.000223096826114,68.170016417,24987506.3939,-0.06,20.99,69.14
Bit-Z Token,BZ,0.187566895174,9610898.90029,24595345.1128,-0.20,-1.84,-7.72
Qubitica,QBIT,28.2548277476,86723.6739803,22848970.0824,0.01,1.77,11.59
GNY,GNY,0.110905459601,19028.7359666,21335621.5611,-0.15,1.43,38.04
AgaveCoin,AGVC,0.0540039238099,16751.1698355,21094990.739,0.12,1.37,9.23
BitcoinHD,BHD,3.50225214926,2769955.98771,18816257.1589,0.29,1.06,-0.81
General Atten...,XAC,1.81256150428,1264.31821408,18125615.0428,-0.15,0.38,10.41
MicroBitcoin,MBC,8.94454387181e-05,8018.46534676,16885241.5849,0.91,5.63,12.63
MOAC,MOAC,0.261459643168,6826.35659961,16331640.9152,0.25,1.12,24.83
Ultiledger,ULT,0.0257402908749,4402160.09812,16131421.9072,-0.11,1.32,7.09
MX Token,MX,0.0744538486313,5778895.04174,15981166.7338,-0.37,0.24,58.06
Spectre.ai Di...,SXDT,0.193446549056,0.0,15876838.9468,0.00,0.00,24.81
Telos,TLOS,0.0689141089933,178431.323775,15814055.9797,6.96,0.60,-11.85
CasinoCoin,CSC,0.000377563573619,34806.9238601,14903391.8722,1.93,5.40,23.51
BHEX Token,BHT,0.0297629459696,1062813.29083,14725852.3594,0.79,-0.97,19.87
Vitae,VITAE,0.790599721825,19963.4328913,14544505.0023,2.30,5.43,4.00
Storeum,STO,0.0939967893087,0.0,14121156.3632,0.00,0.00,50.86
Ecoreal Estate,ECOREAL,0.066230975282,4489.53797405,13836899.3315,0.30,-8.60,-11.17
Atlas Protocol,ATP,0.00528804395241,337821.222599,13622348.6605,-3.17,1.26,20.52
Polis,POLIS,1.51891887262,104835.842897,13393897.9087,-16.61,0.17,23.01
BTU Protocol,BTU,0.187608253717,1003.16184782,13135360.5511,-0.13,3.98,-0.73
BQT,BQTX,0.033168433049,395226.559714,12988125.2496,1.12,-2.88,-23.68
Obyte,GBYTE,17.6337404334,3626.38586291,12820758.0046,-0.11,-0.06,1.11
Wixlar,WIX,0.00520993352458,6952.35524627,12458433.7884,-0.09,0.41,-21.15
Telcoin,TEL,0.000309596975785,158771.278925,12159134.8842,0.39,1.31,5.55
Function X,FX,0.0933696459523,326147.06735,12053140.3604,-0.83,-3.69,2.47
Theta Fuel,TFUEL,0.00307902214788,382992.89403,11818215.5504,0.66,1.50,18.38
BitKan,KAN,0.00193151745389,310387.421874,11791573.6,0.03,0.61,3.30
DMarket,DMT,0.206158436606,4771035.94692,11734903.766,-1.31,-20.53,102.80
Safex Token,SFT,0.00714886088846,5.05751389336,11712580.7277,-0.03,41.15,42.26
Aladdin,ADN,0.00036980122858,6577695.25846,11598382.7609,-0.72,1.70,7.51
Apollo Currency,APL,0.000789013668355,436812.860104,11586741.8841,0.48,4.50,5.01
CyberMiles,CMT,0.014343900981,1395112.69204,11475120.7848,-0.35,0.24,7.61
Gas,GAS,1.10726414633,902051.92562,11214786.6152,-0.18,1.20,13.81
Request,REQ,0.0141866524784,130765.518646,11132962.436,-0.16,0.06,23.83
Tael,WABI,0.168314065788,246799.317666,11108728.2306,0.66,2.64,6.17
Moeda Loyalty...,MDA,0.561362851821,2421755.95157,11018928.5458,-0.30,-4.07,3.65
Bibox Token,BIX,0.103013413776,1154488.58642,10990080.8025,0.57,4.07,16.77
UnlimitedIP,UIP,0.00888451677062,212139.568136,10982620.6375,0.61,-3.57,4.15
GreenPower,GRN,0.00338084979557,11717.9780554,10925890.1206,-0.04,8.52,22.31
SingularityNET,AGI,0.0200810820077,331626.61005,10837222.9947,-1.26,4.44,12.26
Nxt,NXT,0.0107443962471,1139624.09328,10733651.2224,-2.48,5.97,5.21
THORChain,RUNE,0.0962321048934,388376.881351,10714231.3141,2.47,4.76,100.34
Einsteinium,EMC2,0.0478762866618,1721853.28109,10487683.7233,-1.71,0.18,39.58
RChain,RHOC,0.0273179787078,1.64454231821,10211183.6496,-0.07,2.08,-54.67
MB8 Coin,MB8,0.0172120865191,1386.93919576,10083037.8112,-0.15,-2.42,3.76
FIBOS,FO,0.00952323559519,2485.17439576,10079024.8701,0.92,-0.88,1.19
BABB,BAX,0.000305190193182,271218.113577,10067831.3986,0.57,10.54,43.97
QuarkChain,QKC,0.0041436920358,1376534.43299,10022969.1758,0.08,2.11,18.84
NewYork Exchange,NYE,3.13270656066,658745.404678,9998043.92287,0.05,0.88,2.32
B2BX,B2B,0.507887781345,31735.4293687,9969732.75831,1.99,1.15,6.69
CryptoFranc,XCHF,0.992207567381,768.429438691,9957795.14624,-0.12,0.19,0.76
NKN,NKN,0.0212944774429,1832038.46021,9937422.79249,-0.25,1.94,17.23
ZTCoin,ZT,0.0357681379656,0.0,9870179.2298,-0.08,-4.15,11.71
Envion,EVN,0.077335887791,547.416905064,9854563.67184,-0.11,-6.70,-41.38
Polymath,POLY,0.022137215046,2432023.69282,9822449.8507,0.10,6.08,13.05
Carry,CRE,0.00310053317421,1375407.34751,9729847.64612,0.34,6.31,15.36
United Trader...,UTT,0.257598846814,634.097879058,9662274.83599,-19.00,4.51,2.20
Mainframe,MFT,0.0010899302016,1107712.49212,9645943.31653,0.44,-0.41,3.24
Elitium,EUM,0.994557841237,44.4564202285,9603441.04432,-0.15,11.02,0.90
Storm,STORM,0.00143915379009,1546518.58559,9551294.73715,3.04,7.04,5.86
Kava,KAVA,1.0639981276,1166843.6759,9530265.15111,0.33,1.85,-6.23
OST,OST,0.0139497096443,1425249.83796,9505383.24543,8.31,24.55,46.08
BnkToTheFuture,BFT,0.0129358840734,515059.049667,9443066.00601,-0.16,9.04,11.30
Everipedia,IQ,0.0017629384118,705341.618659,9409131.97559,0.04,3.75,18.76
HYCON,HYC,0.00447256418947,39509319.3638,9327751.97689,-2.40,-1.49,27.56
IoT Chain,ITC,0.110462971234,981485.336972,9219754.16825,-0.08,4.50,11.67
GoWithMi,GMAT,0.00337980047882,117959.08123,9205055.59409,0.13,0.09,1.35
BitCapitalVendor,BCV,0.0100789746632,3820979.7071,9054950.78209,5.13,-8.91,-11.77
Fusion,FSN,0.246814147701,2433146.99151,8716194.05979,-2.32,-60.01,-67.37
Pigeoncoin,PGN,0.00209002233199,3471.68650401,8437890.14802,2.03,-6.14,24.43
PlayChip,PLA,0.000601865319113,431.590841132,8431594.86831,-0.14,-20.30,-16.58
Skycoin,SKY,0.526386786721,84895.2885542,8422188.58754,-0.08,2.47,11.72
PressOne,PRS,0.029370187028,69761.161421,8362944.239,-0.08,2.60,10.56
Egretia,EGT,0.00196067738507,2826551.07394,8270678.06374,-0.77,2.17,14.00
FirstBlood,1ST,0.0962234096152,798.810027732,8232718.13063,-0.05,0.28,-5.28
